side_effect,frequency_pct,auroc,auprc,f1,precision,recall
Nausea,78.83943915367126,0.8461417992443593,0.9556351967640992,0.8261829564828531,0.9294428373789461,0.7435729737888012
Dyspnoea,76.64207816123962,0.8376657559176213,0.9478940244640048,0.8128629626419347,0.9201334379905809,0.727992547741034
Diarrhoea,74.94447231292725,0.8374737154826484,0.942766037610259,0.813687990890245,0.9075159567539404,0.7374437681926436
Vomiting,73.70299696922302,0.82552787505968,0.9351509175734389,0.7934907312360364,0.9037826685006878,0.7071897535249165
Pyrexia,70.95827460289001,0.824365381846542,0.9252411191216603,0.8031023722240737,0.8767612621551896,0.740860816098379
Fatigue,70.06584405899048,0.8678373784497045,0.9420640551700592,0.828355261158883,0.8940705758887577,0.7716388338522502
Pneumonia,69.87545490264893,0.83835625734509,0.928193756464342,0.8043909699826346,0.8864739252272572,0.7362206959187149
Pain,69.36379671096802,0.875611668227452,0.9451082215559106,0.8314579030119925,0.9020670278948425,0.7711001829826166
Anaemia,69.22100782394409,0.8415305544988196,0.9275469456707033,0.8008170961659333,0.8867622494432071,0.7300595920238369
Headache,66.9443130493164,0.8520676930985941,0.9268217337105358,0.8030254056500097,0.8834992887624467,0.7359876762649603
